"","SOA_NAME","monthaverageCC_counts"
"1","Abbey 1",32.4444444444444
"2","Abbey 2",33.7777777777778
"3","Abbey Park",52.7777777777778
"4","Academy",28.5555555555556
"5","Aghagallon 1",30.1111111111111
"6","Aghagallon 2",28.7777777777778
"7","Aghanloo 1",57.3333333333333
"8","Aghanloo 2",35.1111111111111
"9","Agivey",29.3333333333333
"10","Ahoghill 1",16.4444444444444
"11","Ahoghill 2",22.7777777777778
"12","Aldergrove 1",2.11111111111111
"13","Aldergrove 2",17.5555555555556
"14","Aldergrove 3",9.88888888888889
"15","Altmore",30.4444444444444
"16","Altnagelvin 1",96.3333333333333
"17","Altnagelvin 2",37.1111111111111
"18","Altnagelvin 3",34
"19","Andersonstown 1",40
"20","Andersonstown 2",57.2222222222222
"21","Andersonstown 3",48
"22","Annagh 1",27.7777777777778
"23","Annagh 2",78.1111111111111
"24","Annalong 1",20.5555555555556
"25","Annalong 2",30.1111111111111
"26","Antiville",48.6666666666667
"27","Ardboe",40.1111111111111
"28","Ardeevin",23.7777777777778
"29","Ardglass 1",54.5555555555556
"30","Ardglass 2",35.8888888888889
"31","Ardoyne 1",86.1111111111111
"32","Ardoyne 2",101.111111111111
"33","Ardoyne 3",104
"34","Armoy & Moss-side and Moyarge",56
"35","Artigarvan",81.7777777777778
"36","Atlantic",67.1111111111111
"37","Audley's Acre",47.7777777777778
"38","Augher",27.8888888888889
"39","Aughnacloy",31.2222222222222
"40","Ballee",85.8888888888889
"41","Ballinamallard",44.1111111111111
"42","Ballinderry 1",12.5555555555556
"43","Ballinderry 2",24.3333333333333
"44","Balloo",44.4444444444444
"45","Ballybay",93.3333333333333
"46","Ballybot",81.8888888888889
"47","Ballycarry",29.7777777777778
"48","Ballyclare North 1",51.1111111111111
"49","Ballyclare North 2",39.8888888888889
"50","Ballyclare South 1",30.4444444444444
"51","Ballyclare South 2",23.1111111111111
"52","Ballycolman",124
"53","Ballycraigy",49.5555555555556
"54","Ballycrochan 1",11.1111111111111
"55","Ballycrochan 2",24.7777777777778
"56","Ballycrochan 3",14.4444444444444
"57","Ballydown 1",15.4444444444444
"58","Ballydown 2",20.3333333333333
"59","Ballyduff 1",30.4444444444444
"60","Ballyduff 2",11.1111111111111
"61","Ballygawley",39.7777777777778
"62","Ballygowan 1",15.2222222222222
"63","Ballygowan 2",21.8888888888889
"64","Ballyhackamore 1",20.7777777777778
"65","Ballyhackamore 2",30.3333333333333
"66","Ballyhackamore 3",39.3333333333333
"67","Ballyhanwood 1",15.1111111111111
"68","Ballyhanwood 2",9.11111111111111
"69","Ballyhenry 1",23.1111111111111
"70","Ballyhenry 2",12.8888888888889
"71","Ballyhoe and Corkey",38.3333333333333
"72","Ballyholme",20.1111111111111
"73","Ballykeel",83.4444444444444
"74","Ballykelly",64.4444444444444
"75","Ballyloran",36.6666666666667
"76","Ballylough & Bushmills",78.8888888888889
"77","Ballyloughan",16
"78","Ballymacarrett 1",65.5555555555556
"79","Ballymacarrett 2",51
"80","Ballymacarrett 3",123.111111111111
"81","Ballymacash 1",23.6666666666667
"82","Ballymacash 2",10.8888888888889
"83","Ballymacbrennan 1",10.8888888888889
"84","Ballymacbrennan 2",6
"85","Ballymaconnell 1",8.33333333333333
"86","Ballymaconnell 2",10.6666666666667
"87","Ballymacoss 1",45
"88","Ballymacoss 2",47.2222222222222
"89","Ballymacoss 3",45.1111111111111
"90","Ballymagee 1",11.5555555555556
"91","Ballymagee 2",26.8888888888889
"92","Ballymaglave 1",33.6666666666667
"93","Ballymaglave 2",29.6666666666667
"94","Ballymaguigan",27.3333333333333
"95","Ballymartrim",47.5555555555556
"96","Ballymote",130.888888888889
"97","Ballynafeigh 1",43.5555555555556
"98","Ballynafeigh 2",45.6666666666667
"99","Ballynafeigh 3",69.7777777777778
"100","Ballynahinch East",59.2222222222222
"101","Ballynashallog 1",39.4444444444444
"102","Ballynashallog 2",29.1111111111111
"103","Ballynure 1",11.5555555555556
"104","Ballynure 2",14.4444444444444
"105","Ballyoran",55.5555555555556
"106","Ballyrainey",90.5555555555556
"107","Ballyrobert 1",15.2222222222222
"108","Ballyrobert 2",18.8888888888889
"109","Ballysaggart",81
"110","Ballysally 1",84.2222222222222
"111","Ballysally 2",40.4444444444444
"112","Ballysillan 1",67.7777777777778
"113","Ballysillan 2",56.2222222222222
"114","Ballysillan 3",57.3333333333333
"115","Ballywalter 1",64.4444444444444
"116","Ballywalter 2",36.5555555555556
"117","Ballyward",36.4444444444444
"118","Banagher",66
"119","Banbridge West",54.6666666666667
"120","Bangor Castle",53.7777777777778
"121","Bannside",15.3333333333333
"122","Beechill 1",4.44444444444444
"123","Beechill 2",21.5555555555556
"124","Beechill 3",36
"125","Beechmount 1",72.4444444444444
"126","Beechmount 2",98.1111111111111
"127","Beechmount 3",59
"128","Beechwood",118.444444444444
"129","Belcoo and Garrison",62.3333333333333
"130","Bellaghy",39.4444444444444
"131","Belleek and Boa",73.3333333333333
"132","Bellevue 1",26.2222222222222
"133","Bellevue 2",69.5555555555556
"134","Bellevue 3",59.8888888888889
"135","Belmont 1",14.4444444444444
"136","Belmont 2",19.1111111111111
"137","Belmont 3",34.8888888888889
"138","Benburb",28.5555555555556
"139","Benvardin",52.6666666666667
"140","Beragh",43.5555555555556
"141","Bessbrook",76.2222222222222
"142","Binnian",28.2222222222222
"143","Blackcave",31.2222222222222
"144","Blackhead",42.5555555555556
"145","Blackstaff 1",82.6666666666667
"146","Blackstaff 2",127.111111111111
"147","Blaris 1",39.2222222222222
"148","Blaris 2",14.8888888888889
"149","Bleary 1",14.3333333333333
"150","Bleary 2",15.3333333333333
"151","Bloomfield 1 Belfast",80.6666666666667
"152","Bloomfield 1 NorthDown",44
"153","Bloomfield 2 Belfast",26.3333333333333
"154","Bloomfield 2 NorthDown",45.2222222222222
"155","Bloomfield 3 Belfast",58.7777777777778
"156","Bluefield 1",16.7777777777778
"157","Bluefield 2",16.4444444444444
"158","Boho Cleenish and Letterbreen",47.6666666666667
"159","Bonamargy and Rathlin & Glens",38.5555555555556
"160","Boneybefore",15.6666666666667
"161","Botanic 1",49.8888888888889
"162","Botanic 2",35.3333333333333
"163","Botanic 3",54.7777777777778
"164","Botanic 4",56.8888888888889
"165","Botanic 5",74.7777777777778
"166","Bradshaw's Brae 1",30.4444444444444
"167","Bradshaw's Brae 2",22.6666666666667
"168","Brandywell",175.777777777778
"169","Broadway 1",18.2222222222222
"170","Broadway 2",9.77777777777778
"171","Brookeborough",55.3333333333333
"172","Broughshane 1",15.6666666666667
"173","Broughshane 2",20.8888888888889
"174","Brownstown 1",34.7777777777778
"175","Brownstown 2",41.4444444444444
"176","Bryansburn 1",19.4444444444444
"177","Bryansburn 2",5.55555555555556
"178","Burleigh Hill 1",20.5555555555556
"179","Burleigh Hill 2",11.3333333333333
"180","Burnthill 1",17.1111111111111
"181","Burnthill 2",12.8888888888889
"182","Burren and Kilbroney 1",22.5555555555556
"183","Burren and Kilbroney 2",20.1111111111111
"184","Cairnshill 1",11.1111111111111
"185","Cairnshill 2",14.7777777777778
"186","Caledon",18.8888888888889
"187","Callan Bridge",112.222222222222
"188","Camlough",69.7777777777778
"189","Camowen",59.2222222222222
"190","Carn Hill 1",75.4444444444444
"191","Carn Hill 2",72.5555555555556
"192","Carnany",66.4444444444444
"193","Carncastle",26.1111111111111
"194","Carnlough",42
"195","Carnmoney 1",34.8888888888889
"196","Carnmoney 2",6.11111111111111
"197","Carnmoon & Dunseverick",27.5555555555556
"198","Carrigatuke",34.4444444444444
"199","Carrowdore 1",17.6666666666667
"200","Carrowdore 2",31
"201","Carrowreagh 1",26.5555555555556
"202","Carrowreagh 2",45.8888888888889
"203","Carryduff East 1",12.5555555555556
"204","Carryduff East 2",22.2222222222222
"205","Carryduff West 1",8.44444444444444
"206","Carryduff West 2",19.3333333333333
"207","Castle Demesne",69.6666666666667
"208","Castlecaulfield",22.8888888888889
"209","Castlecoole 1",57.3333333333333
"210","Castlecoole 2",35.1111111111111
"211","Castledawson 1",29.2222222222222
"212","Castledawson 2",22.8888888888889
"213","Castlederg",89.6666666666667
"214","Castlerock 1",30.1111111111111
"215","Castlerock 2",20.5555555555556
"216","Castleview 1",64.2222222222222
"217","Castleview 2",20.2222222222222
"218","Castleview 3",38.6666666666667
"219","Castlewellan 1",34.6666666666667
"220","Castlewellan 2",41
"221","Cathedral 1",55.6666666666667
"222","Cathedral 2",42.6666666666667
"223","Cavehill 1",22.7777777777778
"224","Cavehill 2",21
"225","Cavehill 3",20.1111111111111
"226","Caw",111.333333333333
"227","Central Ards",132.444444444444
"228","Central Coleraine",89
"229","Central Larne",74
"230","Charlemont",32.4444444444444
"231","Cherryvalley 1",13.8888888888889
"232","Cherryvalley 2",14.2222222222222
"233","Cherryvalley 3",46.4444444444444
"234","Chichester Park 1",101.333333333333
"235","Chichester Park 2",60.2222222222222
"236","Chichester Park 3",35.6666666666667
"237","Church",97
"238","Churchill 1",9.88888888888889
"239","Churchill 2",17.6666666666667
"240","Churchland",75.6666666666667
"241","Clady",25.7777777777778
"242","Clanabogan",34.7777777777778
"243","Clandeboye 1",49.2222222222222
"244","Clandeboye 2",20.8888888888889
"245","Clandeboye 3",31.7777777777778
"246","Clare",53.1111111111111
"247","Claudy 1",40.5555555555556
"248","Claudy 2",32.7777777777778
"249","Cliftonville 1",95.3333333333333
"250","Cliftonville 2",29.5555555555556
"251","Cliftonville 3",63.4444444444444
"252","Clipperstown",62
"253","Clogh Mills",28
"254","Clogher",25.1111111111111
"255","Clonallan 1",75.7777777777778
"256","Clonallan 2",33.8888888888889
"257","Clonard 1",116.333333333333
"258","Clonard 2",122.555555555556
"259","Clondermot 1",95.3333333333333
"260","Clondermot 2",22.6666666666667
"261","Cloughfern 1",29.3333333333333
"262","Cloughfern 2",30.2222222222222
"263","Coagh",23.1111111111111
"264","Coalisland North",57.6666666666667
"265","Coalisland South",80.4444444444444
"266","Coalisland West and Newmills",31.7777777777778
"267","Collin Glen 1",83.6666666666667
"268","Collin Glen 2",124.444444444444
"269","Collin Glen 3",95
"270","Collinbridge 1",7.77777777777778
"271","Collinbridge 2",12
"272","Comber East 1",46.1111111111111
"273","Comber East 2",24.1111111111111
"274","Comber North 1",40.5555555555556
"275","Comber North 2",17.7777777777778
"276","Comber West 1",15.6666666666667
"277","Comber West 2",19.5555555555556
"278","Conlig 1",45.2222222222222
"279","Conlig 2",33.2222222222222
"280","Conlig 3",49.6666666666667
"281","Coole",87.6666666666667
"282","Coolessan",80.1111111111111
"283","Coolhill",49.1111111111111
"284","Coolnagard",72.5555555555556
"285","Corcrain 1",62.8888888888889
"286","Corcrain 2",75.1111111111111
"287","Court 1",77.1111111111111
"288","Court 2",44
"289","Craigavad",16.1111111111111
"290","Craigy Hill",46
"291","Craigywarren",21
"292","Cranfield",35.6666666666667
"293","Crawfordsburn",17.5555555555556
"294","Cregagh",61.7777777777778
"295","Creggan",76
"296","Creggan Central 1",116.777777777778
"297","Creggan Central 2",79.8888888888889
"298","Creggan South",183.444444444444
"299","Crevagh 1",89.3333333333333
"300","Crevagh 2",92.2222222222222
"301","Crevagh 3",103.555555555556
"302","Cross Glebe",105.777777777778
"303","Crossgar 1",12.1111111111111
"304","Crossgar 2",29.1111111111111
"305","Crossmaglen",87.4444444444444
"306","Crumlin 1 Antrim",33.1111111111111
"307","Crumlin 1 Belfast",105.111111111111
"308","Crumlin 2 Antrim",44.2222222222222
"309","Crumlin 2 Belfast",105.333333333333
"310","Cullybackey",60.6666666666667
"311","Culmore 1",26
"312","Culmore 2",100.777777777778
"313","Culmore 3",78.2222222222222
"314","Culmore 4",80.1111111111111
"315","Culmore 5",30
"316","Cultra",11
"317","Daisy hill 1",50.1111111111111
"318","Daisy hill 2",64.1111111111111
"319","Dalriada",32.4444444444444
"320","Demesne 1",21.5555555555556
"321","Demesne 2",19.7777777777778
"322","Dergmoney",42
"323","Derryaghy 1",92.5555555555556
"324","Derryaghy 2",41.4444444444444
"325","Derryaghy 3",92.7777777777778
"326","Derryboy 1",12.5555555555556
"327","Derryboy 2",25.1111111111111
"328","Derrygonnelly",51
"329","Derryleckagh 1",25.6666666666667
"330","Derryleckagh 2",42.1111111111111
"331","Derrylin",62.4444444444444
"332","Derrymore 1",40.4444444444444
"333","Derrymore 2",41
"334","Derrynoose",49.1111111111111
"335","Derrytrasna 1",37.8888888888889
"336","Derrytrasna 2",22.1111111111111
"337","Dervock",29.6666666666667
"338","Devenish",75.1111111111111
"339","Doagh 1",21.3333333333333
"340","Doagh 2",14.2222222222222
"341","Donagh",42.8888888888889
"342","Donaghadee North 1",41.3333333333333
"343","Donaghadee North 2",16.6666666666667
"344","Donaghadee South 1",33.2222222222222
"345","Donaghadee South 2",24.2222222222222
"346","Donaghcloney 1",25.5555555555556
"347","Donaghcloney 2",18.2222222222222
"348","Donaghmore",20.7777777777778
"349","Donaghmore 1",17.8888888888889
"350","Donaghmore 2",15
"351","Donard 1",30.7777777777778
"352","Donard 2",24.4444444444444
"353","Downs",60.3333333333333
"354","Downshire",44.8888888888889
"355","Draperstown",55.3333333333333
"356","Dromara 1",11.8888888888889
"357","Dromara 2",30.3333333333333
"358","Dromore",43.1111111111111
"359","Dromore North",48.3333333333333
"360","Dromore South 1",22.7777777777778
"361","Dromore South 2",20
"362","Drumalane 1",49.6666666666667
"363","Drumalane 2",27.4444444444444
"364","Drumanaway",24.1111111111111
"365","Drumaness 1",38.5555555555556
"366","Drumaness 2",23.1111111111111
"367","Drumbo 1",10.5555555555556
"368","Drumbo 2",17.7777777777778
"369","Drumgask 1",63.5555555555556
"370","Drumgask 2",48
"371","Drumglass",50.8888888888889
"372","Drumgor 1",37.2222222222222
"373","Drumgor 2",40.7777777777778
"374","Drumgullion 1",52.2222222222222
"375","Drumgullion 2",31.5555555555556
"376","Drumnakilly",34.6666666666667
"377","Drumnamoe 1",40.3333333333333
"378","Drumnamoe 2",29.3333333333333
"379","Drumquin",48.7777777777778
"380","Drumragh",55.4444444444444
"381","Dufferin",92.5555555555556
"382","Dunanney",88.3333333333333
"383","Duncairn 1",169.555555555556
"384","Duncairn 2",92.3333333333333
"385","Dunclug",75.4444444444444
"386","Dundonald 1",21.6666666666667
"387","Dundonald 2",13.6666666666667
"388","Dundooan 1",27.8888888888889
"389","Dundooan 2",19
"390","Dundrum",74.5555555555556
"391","Dungiven",74.8888888888889
"392","Dunloy",26.2222222222222
"393","Dunluce",20.7777777777778
"394","Dunminning",20.3333333333333
"395","Dunmore",28
"396","Dunmurry 1",53.6666666666667
"397","Dunmurry 2",24.5555555555556
"398","Dunnamanagh",67.4444444444444
"399","Dunnamore",16.1111111111111
"400","East",169.333333333333
"401","Ebrington 1",21.7777777777778
"402","Ebrington 2",131.666666666667
"403","Eden 1",24
"404","Eden 2",34.1111111111111
"405","Edenderry",67.3333333333333
"406","Edenderry 1",31.4444444444444
"407","Edenderry 2",24.8888888888889
"408","Eglinton 1",40.1111111111111
"409","Eglinton 2",43.6666666666667
"410","Enagh 1",22
"411","Enagh 1 Derry",105.888888888889
"412","Enagh 2",48.6666666666667
"413","Enagh 2 Derry",56.4444444444444
"414","Enler",48.3333333333333
"415","Erne",74
"416","Fair Green",64.6666666666667
"417","Fairhill",44.4444444444444
"418","Fairy Water",20.7777777777778
"419","Falls 1",76.1111111111111
"420","Falls 2",71.6666666666667
"421","Falls 3",104.666666666667
"422","Falls Park 1",56.2222222222222
"423","Falls Park 2",49.8888888888889
"424","Falls Park 3",49
"425","Farranshane",50.6666666666667
"426","Fathom",49
"427","Feeny",52.4444444444444
"428","Finaghy 1",10.1111111111111
"429","Finaghy 2",18.5555555555556
"430","Finaghy 3",22.5555555555556
"431","Finn",109.666666666667
"432","Fintona",54.3333333333333
"433","Fivemiletown",31.5555555555556
"434","Florence Court and Kinawley",37.8888888888889
"435","Forest",56.6666666666667
"436","Forkhill 1",42.8888888888889
"437","Forkhill 2",56
"438","Fort",46
"439","Fortwilliam 1",20.7777777777778
"440","Fortwilliam 2",39.7777777777778
"441","Fortwilliam 3",34.2222222222222
