"","SOA_LABEL","SOA2001","X0.15yrs","X16.39yrs","X40.64yrs","X65.","Total","Working"
"1","Aldergrove_1","95AA01S1",259,647,110,6,1022,757
"2","Aldergrove_2","95AA01S2",550,551,745,279,2125,1296
"3","Aldergrove_3","95AA01S3",347,510,537,218,1611,1046
"4","Balloo","95AA02W1",245,487,618,389,1739,1105
"5","Ballycraigy","95AA03W1",381,585,580,314,1860,1165
"6","Clady","95AA04W1",674,897,1215,449,3235,2112
"7","Cranfield","95AA05W1",652,786,867,464,2768,1652
"8","Crumlin_1_Antrim","95AA06S1",440,571,610,247,1868,1181
"9","Crumlin_2_Antrim","95AA06S2",697,875,860,256,2689,1736
"10","Drumanaway","95AA07W1",424,551,794,387,2156,1345
"11","Farranshane","95AA08W1",338,508,524,259,1628,1031
"12","Fountain Hill","95AA09W1",447,655,682,439,2223,1337
"13","Greystone_Antrim","95AA10W1",355,549,587,372,1864,1137
"14","Massereene_1","95AA11S1",539,845,902,492,2778,1747
"15","Massereene_2","95AA11S2",669,854,872,261,2656,1726
"16","Parkgate","95AA12W1",525,684,1164,466,2839,1848
"17","Randalstown_1","95AA13S1",402,575,617,256,1851,1193
"18","Randalstown_2","95AA13S2",333,458,503,236,1530,961
"19","Shilvodan","95AA14W1",539,620,858,428,2445,1478
"20","Springfarm_1","95AA15S1",757,1123,818,302,2999,1940
"21","Springfarm_2","95AA15S2",494,653,452,191,1791,1106
"22","Steeple","95AA16W1",376,602,518,309,1805,1120
"23","Stiles","95AA17W1",502,634,665,313,2113,1298
"24","Templepatrick","95AA18W1",377,493,812,714,2396,1305
"25","Toome","95AA19W1",671,882,856,334,2742,1737
"26","Ballygowan_1","95BB01S1",339,534,599,262,1733,1132
"27","Ballygowan_2","95BB01S2",393,560,783,270,2006,1343
"28","Ballyrainey","95BB02W1",424,680,753,576,2433,1433
"29","Ballywalter_1","95BB03S1",429,575,623,431,2057,1197
"30","Ballywalter_2","95BB03S2",399,501,823,531,2254,1324
"31","Bradshaw's Brae_1","95BB04S1",173,352,499,399,1422,850
"32","Bradshaw's Brae_2","95BB04S2",286,415,596,502,1799,1011
"33","Carrowdore_1","95BB05S1",258,374,587,318,1537,961
"34","Carrowdore_2","95BB05S2",383,513,633,412,1941,1146
"35","Central_Ards","95BB06W1",426,1033,864,610,2933,1897
"36","Comber East_1","95BB07S1",297,517,490,427,1732,1008
"37","Comber East_2","95BB07S2",215,338,453,285,1291,791
"38","Comber North_1","95BB08S1",279,411,417,284,1391,828
"39","Comber North_2","95BB08S2",258,350,434,189,1231,784
"40","Comber West_1","95BB09S1",201,310,446,403,1359,755
"41","Comber West_2","95BB09S2",258,463,620,301,1642,1083
"42","Donaghadee North_1","95BB10S1",219,379,552,521,1671,931
"43","Donaghadee North_2","95BB10S2",230,412,645,465,1751,1056
"44","Donaghadee South_1","95BB11S1",275,335,484,265,1359,819
"45","Donaghadee South_2","95BB11S2",210,304,506,533,1553,810
"46","Glen_1","95BB12S1",348,510,400,246,1503,909
"47","Glen_2","95BB12S2",257,352,498,314,1422,851
"48","Gregstown_1","95BB13S1",276,405,533,163,1378,939
"49","Gregstown_2","95BB13S2",291,377,504,309,1481,881
"50","Gregstown_3","95BB13S3",314,428,561,187,1490,989
"51","Killinchy_1","95BB14S1",272,403,603,314,1592,1006
"52","Killinchy_2","95BB14S2",239,368,570,362,1539,938
"53","Kircubbin_1","95BB15S1",483,498,727,358,2065,1224
"54","Kircubbin_2","95BB15S2",276,427,480,249,1432,907
"55","Lisbane_1","95BB16S1",228,395,592,356,1570,986
"56","Lisbane_2","95BB16S2",325,377,662,352,1715,1038
"57","Loughries_1","95BB17S1",417,532,611,222,1782,1143
"58","Loughries_2","95BB17S2",383,527,598,299,1807,1125
"59","Millisle_1","95BB18S1",412,567,549,326,1854,1116
"60","Millisle_2","95BB18S2",596,643,964,482,2685,1607
"61","Movilla_1","95BB19S1",313,493,589,366,1761,1082
"62","Movilla_2","95BB19S2",422,533,700,194,1848,1232
"63","Movilla_3","95BB19S3",271,369,524,147,1312,894
"64","Portaferry_1","95BB20S1",339,514,642,347,1842,1156
"65","Portaferry_2","95BB20S2",284,417,459,301,1462,877
"66","Portavogie_1","95BB21S1",525,594,787,439,2344,1380
"67","Portavogie_2","95BB21S2",500,655,852,411,2418,1507
"68","Scrabo_1","95BB22S1",447,526,529,175,1676,1054
"69","Scrabo_2","95BB22S2",366,466,500,281,1613,966
"70","Whitespots_1","95BB23S1",238,378,565,427,1607,942
"71","Whitespots_2","95BB23S2",206,359,537,297,1399,896
"72","Abbey Park","95CC01W1",558,838,822,431,2649,1660
"73","Ballymartrim","95CC02W1",596,879,925,465,2866,1805
"74","Callan Bridge","95CC03W1",718,997,789,354,2859,1787
"75","Carrigatuke","95CC04W1",638,838,791,384,2650,1628
"76","Charlemont","95CC05W1",704,891,848,463,2907,1740
"77","Demesne_1","95CC06S1",323,498,493,260,1574,991
"78","Demesne_2","95CC06S2",331,417,451,222,1421,868
"79","Derrynoose","95CC07W1",1006,1164,1150,386,3706,2314
"80","Downs","95CC08W1",581,837,745,417,2580,1582
"81","Hamiltonsbawn_1","95CC09S1",299,427,544,261,1531,971
"82","Hamiltonsbawn_2","95CC09S2",486,654,638,265,2043,1292
"83","Hockley","95CC10W1",467,692,870,610,2638,1561
"84","Keady","95CC11W1",397,616,544,369,1927,1161
"85","Killeen","95CC12W1",628,813,889,469,2799,1702
"86","Killylea","95CC13W1",590,790,805,376,2560,1594
"87","Laurelvale","95CC14W1",703,960,1000,467,3131,1961
"88","Loughgall","95CC15W1",693,917,975,430,3014,1891
"89","Markethill","95CC16W1",742,893,862,469,2965,1754
"90","Milford","95CC17W1",725,911,886,406,2929,1798
"91","Observatory","95CC18W1",483,649,797,484,2413,1446
"92","Poyntz Pass","95CC19W1",667,821,944,425,2858,1766
"93","Rich Hill_1","95CC20S1",256,362,423,179,1220,785
"94","Rich Hill_2","95CC20S2",352,517,574,263,1706,1091
"95","Tandragee","95CC21W1",651,872,983,488,2995,1856
"96","The Mall","95CC22W1",374,538,587,361,1861,1126
"97","Academy","95DD01W1",302,466,722,599,2089,1188
"98","Ahoghill_1","95DD02S1",248,376,489,291,1404,865
"99","Ahoghill_2","95DD02S2",577,816,844,320,2558,1661
"100","Ardeevin","95DD03W1",782,1154,1141,666,3742,2294
"101","Ballee","95DD04W1",436,590,604,307,1937,1194
"102","Ballykeel","95DD05W1",363,556,544,214,1677,1100
"103","Ballyloughan","95DD06W1",348,620,808,812,2587,1427
"104","Broughshane_1","95DD07S1",250,349,501,423,1523,850
"105","Broughshane_2","95DD07S2",428,510,629,363,1930,1139
"106","Castle Demesne","95DD08W1",387,911,782,413,2493,1693
"107","Craigywarren","95DD09W1",554,611,962,491,2618,1573
"108","Cullybackey","95DD10W1",476,817,923,577,2793,1740
"109","Dunclug","95DD11W1",669,891,661,278,2499,1552
"110","Dunminning","95DD12W1",514,780,888,456,2639,1669
"111","Fair Green","95DD13W1",371,590,525,362,1848,1115
"112","Galgorm_1","95DD14S1",331,440,526,270,1568,967
"113","Galgorm_2","95DD14S2",269,399,687,297,1652,1086
"114","Glenravel","95DD15W1",837,1025,1178,477,3516,2202
"115","Glenwhirry","95DD16W1",623,841,1104,533,3101,1945
"116","Grange","95DD17W1",853,1095,1180,538,3666,2275
"117","Harryville","95DD18W1",282,689,624,506,2100,1312
"118","Kells_1","95DD19S1",425,634,582,285,1925,1215
"119","Kells_2","95DD19S2",246,405,541,289,1482,947
"120","Moat","95DD20W1",309,530,578,310,1727,1108
"121","Park","95DD21W1",473,796,702,386,2358,1499
"122","Portglenone_1","95DD22S1",320,520,559,275,1674,1079
"123","Portglenone_2","95DD22S2",384,483,515,257,1639,998
"124","Slemish","95DD23W1",520,739,947,464,2670,1686
"125","Summerfield","95DD24W1",557,873,876,432,2738,1749
"126","Ballyhoe and Corkey","95EE01W1",419,637,600,245,1901,1237
"127","Benvardin","95EE02W1",439,616,742,303,2101,1359
"128","Carnany","95EE03W1",404,580,703,343,2030,1283
"129","Clogh Mills","95EE04W1",391,633,664,330,2018,1297
"130","Dervock","95EE05W1",292,400,607,275,1575,1008
"131","Dunloy","95EE06W1",588,778,715,302,2383,1493
"132","Fairhill","95EE07W1",405,510,578,360,1852,1087
"133","Glebe","95EE08W1",254,456,609,498,1817,1065
"134","Killoquin Lower","95EE09W1",383,582,640,297,1902,1222
"135","Killoquin Upper","95EE10W1",423,631,579,278,1911,1210
"136","Knockaholet","95EE11W1",342,524,560,285,1711,1084
"137","Newhill","95EE12W1",538,817,841,305,2500,1657
"138","Route","95EE13W1",243,401,506,395,1546,908
"139","Seacon","95EE14W1",664,924,926,416,2930,1850
"140","Stranocum","95EE15W1",394,525,593,275,1787,1118
"141","The Vow","95EE16W1",487,653,703,314,2156,1355
"142","Ballydown_1","95FF01S1",439,633,731,341,2144,1364
"143","Ballydown_2","95FF01S2",682,939,994,359,2974,1933
"144","Ballyward","95FF02W1",744,905,962,395,3007,1868
"145","Banbridge West","95FF03W1",739,1110,952,355,3155,2061
"146","Bannside","95FF04W1",671,751,983,409,2814,1734
"147","Dromore North","95FF05W1",573,767,803,480,2622,1569
"148","Dromore South_1","95FF06S1",453,624,644,352,2073,1268
"149","Dromore South_2","95FF06S2",519,607,788,201,2115,1395
"150","Edenderry","95FF07W1",640,900,901,344,2786,1802
"151","Fort","95FF08W1",371,627,773,506,2277,1400
"152","Gilford","95FF09W1",562,798,833,390,2583,1631
"153","Gransha","95FF10W1",879,1108,1239,444,3669,2346
"154","Katesbridge","95FF11W1",684,771,918,410,2783,1689
"155","Lawrencetown","95FF12W1",565,857,894,434,2750,1751
"156","Loughbrickland","95FF13W1",671,854,990,424,2940,1845
"157","Quilly","95FF14W1",478,568,985,483,2514,1553
"158","Rathfriland","95FF15W1",555,854,777,532,2718,1631
"159","Seapatrick","95FF16W1",430,628,858,503,2418,1485
"160","The Cut","95FF17W1",287,508,520,349,1663,1027
"161","Andersonstown_1","95GG01S1",256,457,539,445,1697,996
"162","Andersonstown_2","95GG01S2",235,376,473,358,1443,850
"163","Andersonstown_3","95GG01S3",289,477,535,299,1600,1012
"164","Ardoyne_1","95GG02S1",409,572,421,246,1648,993
"165","Ardoyne_2","95GG02S2",512,662,498,245,1917,1160
"166","Ardoyne_3","95GG02S3",634,764,633,268,2299,1397
"167","Ballyhackamore_1","95GG03S1",365,523,686,386,1960,1209
"168","Ballyhackamore_2","95GG03S2",349,454,676,305,1784,1130
"169","Ballyhackamore_3","95GG03S3",334,672,697,351,2054,1369
"170","Ballymacarrett_1","95GG04S1",355,632,486,220,1693,1118
"171","Ballymacarrett_2","95GG04S2",418,533,422,186,1559,955
"172","Ballymacarrett_3","95GG04S3",314,713,545,230,1802,1258
"173","Ballynafeigh_1","95GG05S1",308,719,536,201,1764,1255
"174","Ballynafeigh_2","95GG05S2",314,892,608,134,1947,1499
"175","Ballynafeigh_3","95GG05S3",325,1151,550,174,2200,1701
"176","Ballysillan_1","95GG06S1",441,618,536,311,1907,1155
"177","Ballysillan_2","95GG06S2",302,585,585,251,1724,1171
"178","Ballysillan_3","95GG06S3",471,657,728,212,2068,1385
"179","Beechmount_1","95GG07S1",415,692,525,244,1876,1217
"180","Beechmount_2","95GG07S2",464,679,524,196,1863,1203
"181","Beechmount_3","95GG07S3",332,517,553,209,1611,1070
"182","Bellevue_1","95GG08S1",291,355,465,277,1388,820
"183","Bellevue_2","95GG08S2",395,613,553,246,1807,1166
"184","Bellevue_3","95GG08S3",445,746,539,234,1964,1285
"185","Belmont_1","95GG09S1",400,515,798,453,2166,1313
"186","Belmont_2","95GG09S2",281,546,649,397,1873,1195
"187","Belmont_3","95GG09S3",493,728,702,278,2202,1431
"188","Blackstaff_1","95GG10S1",349,833,536,208,1926,1369
"189","Blackstaff_2","95GG10S2",478,1114,584,200,2376,1698
"190","Bloomfield_1_Belfast","95GG11S1",374,849,514,235,1973,1364
"191","Bloomfield_2_Belfast","95GG11S2",306,533,546,262,1647,1079
"192","Bloomfield_3_Belfast","95GG11S3",272,780,535,231,1817,1314
"193","Botanic_1","95GG12S1",119,1177,179,50,1526,1357
"194","Botanic_2","95GG12S2",130,1799,198,57,2184,1997
"195","Botanic_3","95GG12S3",153,1738,232,68,2192,1971
"196","Botanic_4","95GG12S4",98,1471,233,39,1841,1704
"197","Botanic_5","95GG12S5",543,1141,607,164,2456,1749
"198","Castleview_1","95GG13S1",251,443,459,191,1344,902
"199","Castleview_2","95GG13S2",354,471,549,313,1687,1020
"200","Castleview_3","95GG13S3",292,495,530,328,1646,1026
"201","Cavehill_1","95GG14S1",312,453,549,299,1613,1002
"202","Cavehill_2","95GG14S2",265,434,578,298,1574,1011
"203","Cavehill_3","95GG14S3",331,493,580,261,1664,1072
"204","Cherryvalley_1","95GG15S1",372,401,723,510,2007,1125
"205","Cherryvalley_2","95GG15S2",344,595,711,401,2051,1306
"206","Cherryvalley_3","95GG15S3",353,553,637,419,1963,1191
"207","Chichester Park_1","95GG16S1",403,775,687,224,2089,1462
"208","Chichester Park_2","95GG16S2",391,606,667,277,1940,1272
"209","Chichester Park_3","95GG16S3",331,431,484,206,1452,915
"210","Cliftonville_1","95GG17S1",631,814,598,200,2242,1411
"211","Cliftonville_2","95GG17S2",260,434,521,305,1519,954
"212","Cliftonville_3","95GG17S3",481,584,477,217,1759,1061
"213","Clonard_1","95GG18S1",649,851,691,295,2486,1542
"214","Clonard_2","95GG18S2",531,971,755,263,2520,1726
"215","Crumlin_1_Belfast","95GG19S1",336,501,622,517,1976,1123
"216","Crumlin_2_Belfast","95GG19S2",732,985,706,354,2776,1690
"217","Duncairn_1","95GG20S1",494,1435,894,357,3180,2329
"218","Duncairn_2","95GG20S2",532,711,603,305,2150,1313
"219","Falls_1","95GG21S1",300,478,447,225,1450,925
"220","Falls_2","95GG21S2",480,596,458,201,1735,1054
"221","Falls_3","95GG21S3",388,771,589,245,1993,1360
"222","Falls Park_1","95GG22S1",295,531,541,323,1690,1072
"223","Falls Park_2","95GG22S2",303,537,622,454,1915,1158
"224","Falls Park_3","95GG22S3",344,472,581,305,1702,1053
"225","Finaghy_1","95GG23S1",262,330,477,328,1398,808
"226","Finaghy_2","95GG23S2",262,417,533,327,1538,949
"227","Finaghy_3","95GG23S3",288,492,498,360,1639,991
"228","Fortwilliam_1","95GG24S1",208,310,450,363,1331,760
"229","Fortwilliam_2","95GG24S2",264,489,530,281,1563,1018
"230","Fortwilliam_3","95GG24S3",284,421,551,321,1577,972
"231","Glen Road_1","95GG25S1",561,799,739,387,2486,1538
"232","Glen Road_2","95GG25S2",336,590,605,233,1764,1195
"233","Glen Road_3","95GG25S3",333,530,466,159,1487,995
"234","Glencairn_1","95GG26S1",454,670,511,360,1994,1180
"235","Glencairn_2","95GG26S2",360,509,532,390,1791,1041
"236","Glencolin_1","95GG27S1",408,552,541,146,1647,1093
"237","Glencolin_2","95GG27S2",402,560,471,195,1629,1032
"238","Glencolin_3","95GG27S3",314,550,519,267,1649,1068
"239","Glencolin_4","95GG27S4",328,507,433,292,1560,940
"240","Highfield_1","95GG28S1",489,706,717,326,2237,1422
"241","Highfield_2","95GG28S2",320,517,580,282,1699,1097
"242","Highfield_3","95GG28S3",422,573,512,225,1733,1086
"243","Island_1","95GG29S1",558,1046,721,277,2602,1767
"244","Island_2","95GG29S2",554,1255,740,299,2848,1995
"245","Knock_1","95GG30S1",295,455,537,296,1584,993
"246","Knock_2","95GG30S2",304,434,613,328,1680,1048
"247","Knock_3","95GG30S3",230,405,480,331,1445,884
"248","Ladybrook_1","95GG31S1",435,776,743,317,2271,1519
"249","Ladybrook_2","95GG31S2",384,634,568,378,1963,1201
"250","Ladybrook_3","95GG31S3",492,727,627,315,2160,1353
"251","Legoniel_1","95GG32S1",996,1258,948,312,3514,2206
"252","Legoniel_2","95GG32S2",302,477,468,282,1528,944
"253","Legoniel_3","95GG32S3",280,506,523,314,1623,1029
"254","Malone_1","95GG33S1",342,494,634,408,1878,1128
"255","Malone_2","95GG33S2",311,428,568,350,1658,997
"256","Malone_3","95GG33S3",349,680,645,298,1973,1326
"257","Musgrave_1","95GG34S1",311,430,483,244,1468,913
"258","Musgrave_2","95GG34S2",207,423,533,331,1495,957
"259","Musgrave_3","95GG34S3",289,633,610,277,1809,1243
"260","New Lodge_1","95GG35S1",413,594,602,367,1976,1196
"261","New Lodge_2","95GG35S2",270,442,513,228,1453,955
"262","New Lodge_3","95GG35S3",288,446,357,156,1247,803
"263","Orangefield_1","95GG36S1",310,693,605,233,1841,1298
"264","Orangefield_2","95GG36S2",336,568,680,344,1928,1248
"265","Orangefield_3","95GG36S3",335,569,671,340,1914,1239
"266","Ravenhill_1","95GG37S1",413,658,772,351,2194,1430
"267","Ravenhill_2","95GG37S2",320,675,602,278,1875,1277
"268","Ravenhill_3","95GG37S3",346,1113,595,257,2311,1708
"269","Rosetta_1","95GG38S1",510,1216,1001,445,3172,2217
"270","Rosetta_2","95GG38S2",274,703,575,321,1873,1278
"271","Rosetta_3","95GG38S3",296,461,551,267,1575,1012
"272","Shaftesbury_1","95GG39S1",453,1005,581,236,2275,1586
"273","Shaftesbury_2","95GG39S2",446,1255,780,364,2845,2035
"274","Shaftesbury_3","95GG39S3",296,984,536,271,2087,1520
"275","Shankill_1","95GG40S1",558,643,474,270,1945,1117
"276","Shankill_2","95GG40S2",445,706,626,490,2268,1333
"277","Stormont_1","95GG41S1",329,385,688,546,1948,1073
"278","Stormont_2","95GG41S2",333,358,564,354,1608,921
"279","Stormont_3","95GG41S3",418,562,680,423,2083,1242
"280","Stranmillis_1","95GG42S1",364,528,655,353,1901,1184
"281","Stranmillis_2","95GG42S2",100,1545,138,107,1890,1683
"282","Stranmillis_3","95GG42S3",244,1602,364,174,2384,1966
"283","Stranmillis_4","95GG42S4",366,940,651,321,2279,1592
"284","Sydenham_1","95GG43S1",289,577,455,311,1632,1032
"285","Sydenham_2","95GG43S2",287,573,517,330,1707,1090
"286","Sydenham_3","95GG43S3",282,678,486,259,1704,1163
"287","The Mount_1","95GG44S1",654,1343,803,285,3086,2147
"288","The Mount_2","95GG44S2",659,1245,764,340,3008,2009
"289","Upper Malone_1","95GG45S1",247,351,548,489,1634,898
"290","Upper Malone_2","95GG45S2",372,529,499,219,1620,1029
"291","Upper Malone_3","95GG45S3",338,527,494,295,1654,1021
"292","Upper Springfield_1","95GG46S1",365,556,543,215,1679,1099
"293","Upper Springfield_2","95GG46S2",421,565,498,282,1767,1064
"294","Upper Springfield_3","95GG46S3",397,535,503,217,1652,1038
"295","Water Works_1","95GG47S1",646,955,735,264,2600,1690
"296","Water Works_2","95GG47S2",384,564,530,233,1711,1094
"297","Water Works_3","95GG47S3",499,694,604,217,2013,1297
